N,P,K,temperature,humidity,ph,rainfall,label
25.23,18.27,21.32,24.89,96.4,5.89,216.6,coconut
26.88,58.89,15.02,31.83,45.11,5.98,118.62,pigeonpeas
20.39,19.16,11.23,22.74,90.69,7.09,139.4,orange
20.26,18.29,33.0,30.51,91.7,6.02,200.9,coconut
95.11,17.23,36.16,24.74,58.5,6.55,113.79,coffee
105.31,44.58,45.09,22.25,86.64,6.76,70.92,cotton
17.24,44.94,98.93,23.85,76.69,5.46,69.34,sweet_potato
101.05,60.93,102.86,34.89,86.56,6.66,188.38,sugarcane
34.38,27.31,41.46,29.09,54.15,6.63,90.62,guava
84.18,46.83,48.03,23.73,79.38,6.22,175.47,ginger
23.66,27.91,24.13,34.81,44.69,6.42,81.19,mango
77.21,20.33,25.27,26.11,100.0,5.7,285.57,rubber
26.37,58.92,72.5,22.33,16.29,7.16,66.1,chickpea
25.24,56.15,118.97,24.59,68.11,5.62,59.14,sweet_potato
40.22,60.51,78.94,13.41,20.61,7.32,109.44,chickpea
19.76,65.05,17.94,20.98,28.85,5.24,113.52,kidneybeans
61.77,30.32,43.61,32.95,82.37,5.98,162.67,pepper
75.31,47.58,47.15,24.09,82.6,6.51,148.64,rice
61.23,35.35,36.71,30.52,49.85,6.69,59.43,sesame
33.54,27.88,34.02,18.47,59.49,7.74,35.84,cumin
52.46,40.08,46.05,17.7,59.31,6.29,81.61,garlic
122.57,22.05,91.8,24.96,80.29,5.23,101.97,pineapple
88.69,13.64,45.56,29.52,89.21,6.48,20.0,muskmelon
44.54,40.56,117.01,24.26,73.71,5.4,79.18,sweet_potato
18.85,53.56,15.21,28.59,54.94,6.68,38.81,mothbeans
76.53,31.63,46.31,23.29,68.09,6.97,191.13,jute
99.45,22.65,17.42,22.66,73.4,6.65,199.84,coffee
26.92,10.52,10.32,24.45,90.02,7.26,111.16,orange
15.92,54.98,63.89,26.01,61.37,6.91,49.93,groundnut
99.61,64.12,60.87,30.96,79.62,6.79,178.11,sugarcane
13.09,18.5,45.81,25.19,85.38,5.82,121.09,pomegranate
69.42,49.74,35.48,21.65,85.59,6.14,189.19,rice
33.45,45.48,33.57,29.42,64.41,6.43,129.75,guava
21.99,19.55,45.59,19.65,81.1,6.42,125.91,pomegranate
102.38,39.55,33.48,29.53,56.26,6.57,185.28,coffee
77.66,52.99,67.87,26.53,58.2,6.11,97.11,tobacco
91.79,25.65,74.21,19.75,70.22,5.87,64.85,cabbage
106.8,58.93,64.88,25.06,68.8,6.82,86.68,tobacco
61.78,69.87,71.09,17.31,69.26,4.96,26.46,potato
21.1,82.21,16.08,19.25,27.29,5.72,93.79,kidneybeans
17.19,79.48,48.11,22.29,63.99,6.62,88.22,soybean
46.67,44.77,66.95,15.51,48.44,6.5,37.44,radish
77.44,46.03,41.62,25.42,92.32,5.4,269.04,cardamom
130.33,25.85,46.75,24.49,91.81,5.19,248.41,tea
66.81,40.38,45.79,29.43,72.4,5.52,214.48,pepper
59.27,36.78,46.85,26.74,65.57,5.92,208.57,pepper
101.63,35.48,72.59,16.76,64.18,6.47,50.58,spinach
45.92,75.93,75.43,17.48,11.41,7.29,66.8,chickpea
98.78,67.07,82.8,16.19,70.15,6.16,80.8,cauliflower
65.16,40.31,36.13,24.01,88.09,6.98,174.43,jute
28.52,69.52,18.06,21.48,17.06,5.84,126.28,kidneybeans
47.35,54.95,36.16,29.71,41.81,6.1,46.56,castor
43.36,23.66,26.14,24.71,59.18,6.52,109.11,lemon
112.08,80.57,53.22,19.61,80.99,5.85,68.92,maize
59.95,48.1,56.24,22.84,61.03,6.39,33.1,onion
17.51,29.48,22.47,25.65,79.12,6.07,20.0,grapes
30.63,38.29,84.75,17.9,64.31,5.7,52.61,carrot
43.37,36.83,53.57,24.47,77.86,6.47,107.7,chilli
19.32,58.9,13.96,21.31,67.59,6.68,56.02,lentil
62.25,52.17,49.29,19.65,83.14,6.15,42.13,capsicum
21.32,65.09,65.88,25.85,64.53,6.98,86.37,sunflower
16.94,10.39,13.52,24.9,90.54,6.93,126.04,orange
76.15,44.66,52.78,29.2,80.62,5.66,189.72,pepper
46.3,34.54,31.81,25.37,65.81,6.7,87.96,guava
48.66,27.99,27.89,23.0,75.95,6.12,99.16,lemon
110.55,59.08,50.27,19.68,78.37,6.82,66.8,cotton
81.57,69.37,113.74,27.79,66.96,6.04,107.39,tobacco
14.33,46.82,17.94,23.32,73.99,7.23,53.69,mungbean
94.57,23.3,31.79,22.32,66.15,6.86,159.12,coffee
77.34,44.85,55.03,19.97,45.63,6.95,30.33,sunflower
106.12,18.23,53.47,23.99,86.94,6.31,20.0,muskmelon
126.54,21.22,47.68,16.97,69.46,7.17,42.37,spinach
39.44,49.19,93.84,20.81,64.83,6.22,32.65,carrot
92.93,53.77,55.62,23.13,76.55,5.47,171.7,cardamom
106.17,32.5,88.26,27.79,87.21,5.37,102.43,pineapple
17.68,17.48,31.53,21.43,100.0,5.58,78.82,pomegranate
100.23,37.06,88.56,30.29,90.21,5.42,153.42,pineapple
140.0,69.15,77.28,30.88,82.74,5.75,212.65,sugarcane
42.02,44.2,42.99,17.45,52.22,6.7,72.62,coriander
39.21,41.52,99.83,26.69,81.05,5.63,99.61,sweet_potato
97.34,12.57,49.03,24.05,92.9,6.3,23.65,muskmelon
85.74,51.95,74.9,20.75,66.68,6.21,88.29,cabbage
25.95,55.92,18.89,21.84,48.01,6.9,47.95,lentil
120.91,46.32,64.05,14.01,63.63,7.16,30.12,spinach
30.59,29.41,37.2,24.44,59.16,6.72,144.76,lemon
100.25,39.07,48.02,13.87,52.06,6.73,39.33,spinach
95.98,52.37,87.7,16.96,78.09,5.33,48.01,potato
74.45,21.18,42.58,24.29,71.56,6.56,218.2,pepper
16.78,53.18,26.7,22.82,66.18,6.55,48.47,lentil
46.18,33.78,43.54,18.18,43.45,6.44,55.38,mustard
104.78,37.75,54.85,30.49,69.51,5.68,218.36,ginger
52.15,39.31,41.35,29.66,43.73,6.31,52.1,castor
17.87,34.22,24.23,29.14,50.97,6.76,35.04,mothbeans
35.34,43.92,89.69,25.31,65.54,6.24,85.87,sweet_potato
105.74,39.36,77.81,29.82,83.21,5.62,144.31,pineapple
20.85,20.5,30.16,29.74,88.04,5.91,78.59,grapes
54.13,56.64,26.21,29.74,68.57,6.72,69.89,blackgram
24.21,133.3,195.98,25.38,92.87,5.55,115.41,apple
34.87,69.66,83.22,18.81,17.64,7.4,48.5,chickpea
140.0,35.17,100.13,33.11,71.29,6.2,210.47,sugarcane
74.38,48.02,49.59,23.04,78.26,6.73,205.88,rice
17.78,131.97,193.07,24.22,96.73,5.46,113.81,apple
36.37,28.14,29.9,24.53,54.64,6.96,35.74,cumin
16.81,65.5,13.86,27.73,58.13,5.1,155.14,pigeonpeas
9.19,30.55,23.0,27.11,51.08,5.94,95.75,mango
89.65,32.52,31.72,24.2,100.0,5.21,300.0,rubber
77.12,38.96,79.75,17.14,73.33,5.72,29.97,potato
83.57,75.5,80.71,25.35,81.95,5.9,103.49,ginger
101.25,43.52,79.16,32.13,80.31,5.86,153.7,turmeric
51.79,49.26,53.62,26.19,68.13,6.16,63.71,chilli
97.06,18.35,23.99,20.52,94.31,5.27,204.74,tea
16.71,29.05,29.66,28.64,35.85,5.74,63.05,mango
77.82,20.9,56.46,28.73,94.15,6.37,21.88,muskmelon
61.1,57.52,41.36,29.03,95.42,6.64,166.61,papaya
26.11,105.95,117.94,13.36,92.72,5.83,59.51,strawberry
71.92,42.77,63.33,21.48,78.22,6.55,165.34,rice
18.7,52.73,11.09,28.92,81.14,6.91,47.4,mungbean
46.44,30.85,57.46,26.43,71.5,6.59,54.78,tomato
24.21,13.09,11.45,21.78,93.67,7.05,153.14,orange
82.0,15.57,29.76,32.95,91.13,5.33,254.51,rubber
33.22,18.87,28.85,31.38,82.72,5.39,162.85,cashew
33.96,35.95,82.95,25.57,71.03,5.39,70.72,sweet_potato
25.2,48.18,115.67,23.4,66.15,5.89,77.42,sweet_potato
126.07,81.43,68.89,28.56,80.7,5.02,129.86,banana
80.61,33.06,68.57,19.96,68.92,6.86,62.18,onion
93.73,52.59,41.6,20.6,69.76,6.58,77.35,wheat
27.15,41.51,22.64,31.61,80.99,7.06,45.46,mungbean
23.71,26.01,34.53,25.55,66.37,6.04,98.11,mango
10.5,40.43,40.09,22.49,65.72,5.99,80.46,soybean
95.86,45.74,77.96,14.67,51.03,6.97,43.6,spinach
51.02,51.64,25.9,34.42,59.84,5.88,42.95,sesame
46.29,31.1,90.89,17.8,53.73,6.41,40.64,radish
51.27,24.52,41.72,19.37,53.38,6.79,76.24,coriander
57.16,62.55,61.79,26.88,61.34,7.05,36.77,sunflower
45.66,51.3,44.64,21.08,73.9,6.19,75.77,tomato
26.23,65.84,20.95,16.18,17.77,5.7,110.05,kidneybeans
27.63,52.87,31.7,24.76,91.17,6.54,56.29,mungbean
40.38,37.61,57.34,26.39,62.35,6.25,55.06,castor
99.44,18.94,22.89,29.43,49.65,6.87,171.21,coffee
53.45,30.64,55.37,24.63,100.0,5.66,224.82,cardamom
44.74,45.41,50.89,26.66,46.74,6.53,51.46,castor
38.03,40.48,84.93,15.29,51.78,5.95,36.46,carrot
102.18,24.58,73.36,26.42,69.75,5.61,127.47,pineapple
61.51,74.02,66.12,24.69,47.75,6.75,56.63,sunflower
41.52,67.34,84.02,13.86,15.75,7.04,56.77,chickpea
25.45,23.41,37.73,21.26,72.55,6.28,98.98,lemon
81.17,16.45,42.85,27.96,93.35,6.28,20.65,muskmelon
27.55,28.01,22.32,20.43,74.27,6.16,69.01,grapes
81.62,51.94,41.13,24.9,71.9,6.93,202.2,jute
26.05,32.24,23.0,33.69,52.44,6.64,70.41,mango
21.57,18.51,46.51,19.63,89.45,6.3,116.71,pomegranate
54.38,51.07,61.62,30.74,70.01,7.2,65.75,sunflower
26.48,37.11,21.18,33.42,82.31,6.49,61.92,mungbean
91.89,31.63,36.25,24.3,83.79,5.26,201.08,rubber
49.42,53.86,41.32,16.23,66.67,7.1,86.88,garlic
42.43,29.51,28.93,29.47,62.16,5.95,63.04,castor
38.54,33.74,32.62,25.21,36.24,7.6,40.53,cumin
15.62,18.79,16.37,24.85,88.68,5.66,115.19,pomegranate
87.2,56.45,51.72,24.58,86.83,5.9,127.03,ginger
112.1,29.16,45.82,19.75,79.78,4.66,252.36,tea
49.35,41.01,49.44,13.71,62.21,7.09,48.0,garlic
12.23,57.02,20.99,21.75,62.88,6.91,31.35,lentil
39.27,51.9,36.28,29.8,48.23,6.41,50.02,castor
51.19,20.37,41.75,22.03,67.32,6.09,82.19,cashew
28.21,29.3,35.64,28.3,70.09,6.45,83.53,lemon
87.7,57.02,98.91,22.77,84.01,5.82,52.01,cauliflower
18.49,57.32,48.12,35.84,58.01,6.92,74.54,groundnut
57.56,29.68,46.72,23.47,68.08,5.92,187.86,pepper
56.11,56.23,46.15,23.02,76.76,6.63,50.92,onion
81.1,49.36,91.67,11.35,76.34,6.68,43.78,cabbage
111.69,12.57,47.5,19.5,84.08,6.99,46.51,watermelon
24.73,24.04,29.84,25.57,86.68,5.91,55.66,grapes
9.82,73.49,40.83,25.82,59.86,6.92,83.17,soybean
9.37,7.64,54.56,23.59,84.75,6.11,100.33,pomegranate
38.21,65.95,54.65,23.81,55.72,6.82,46.39,sunflower
25.64,36.81,20.01,30.48,90.41,6.7,57.42,mungbean
56.61,82.11,85.17,15.5,10.0,7.66,103.6,chickpea
40.29,50.38,94.1,18.6,59.88,6.05,39.24,carrot
44.16,21.73,35.25,18.98,53.62,6.79,70.84,coriander
19.42,61.65,19.53,17.68,27.92,5.35,91.5,kidneybeans
51.72,57.63,53.31,28.67,68.86,7.33,48.88,sunflower
56.22,55.12,63.8,31.7,81.02,6.26,29.65,chilli
130.36,70.99,77.87,26.51,68.37,6.38,150.94,sugarcane
54.86,50.59,41.17,20.98,51.98,6.9,53.87,mustard
113.84,39.69,49.13,25.71,83.85,7.3,99.48,cotton
63.03,30.46,44.75,24.73,88.5,5.35,231.81,cardamom
67.6,32.76,47.11,23.7,88.06,5.46,220.41,cardamom
101.17,9.97,53.47,25.35,84.38,6.66,61.58,watermelon
35.92,38.46,35.65,31.81,60.35,6.61,104.09,guava
42.84,33.98,27.29,27.72,49.66,6.49,33.86,sesame
18.31,33.03,19.69,31.17,36.84,6.98,31.86,mothbeans
109.47,11.93,45.33,25.92,87.23,5.94,51.35,watermelon
33.47,62.76,15.7,21.71,24.13,5.42,116.4,kidneybeans
27.89,47.33,12.49,23.59,97.86,6.65,42.32,mungbean
117.0,36.96,43.54,24.89,83.2,6.34,88.4,cotton
77.84,20.65,22.47,25.34,83.76,5.5,300.0,rubber
20.22,17.01,12.1,30.84,95.4,7.59,95.84,orange
106.37,27.09,24.58,27.68,57.95,6.5,134.57,coffee
52.48,61.45,67.26,29.44,86.64,6.32,144.93,papaya
16.86,59.81,27.26,22.2,47.09,5.69,133.42,pigeonpeas
95.63,51.9,55.68,19.92,56.94,6.36,78.25,maize
104.73,48.34,36.98,26.72,72.71,7.29,78.94,wheat
119.72,69.95,73.14,27.43,87.16,6.27,175.69,sugarcane
35.43,30.54,42.03,22.99,77.53,6.87,112.01,lemon
53.95,69.15,56.54,29.55,99.42,7.1,138.97,papaya
42.94,45.85,47.42,28.41,56.47,6.62,42.12,sunflower
93.12,37.47,61.77,20.05,81.33,6.29,53.17,cabbage
101.4,50.6,61.29,30.71,91.93,5.44,170.34,turmeric
40.3,85.99,17.85,27.3,58.3,6.88,58.1,blackgram
19.58,77.97,16.48,26.99,77.31,6.68,53.69,lentil
98.51,10.86,32.03,26.53,49.12,6.44,119.31,coffee
63.97,46.32,41.45,18.4,66.7,6.53,94.2,garlic
22.55,36.27,19.08,29.25,80.36,6.48,56.47,mungbean
58.42,22.89,26.99,27.37,92.69,5.31,165.43,rubber
71.45,33.34,32.38,26.04,90.16,5.74,255.99,rubber
23.9,21.02,38.19,15.27,96.37,6.59,101.2,pomegranate
55.85,36.49,54.69,30.09,59.41,6.57,80.04,chilli
43.15,28.28,38.62,25.55,45.3,6.87,20.0,cumin
19.75,65.76,18.15,24.1,45.55,5.69,166.83,pigeonpeas
21.66,24.87,51.49,22.41,89.52,5.71,90.23,pomegranate
81.89,45.46,48.25,27.11,88.03,5.8,169.02,cardamom
20.34,15.44,29.06,18.32,78.66,5.44,67.85,grapes
24.27,19.8,34.37,26.92,98.65,5.44,92.15,pomegranate
36.43,60.22,69.43,23.16,17.95,7.11,70.25,chickpea
82.9,60.09,31.73,20.28,74.5,6.89,91.95,wheat
48.93,53.93,48.51,31.42,89.28,6.69,171.72,papaya
109.29,35.53,51.56,21.56,92.93,5.54,150.34,tea
95.86,30.73,31.63,23.57,78.18,4.57,227.4,tea
101.06,93.71,52.21,23.03,82.79,5.95,137.6,banana
99.14,31.44,25.76,21.32,48.2,6.72,177.56,coffee
104.48,18.13,49.42,27.38,96.84,6.76,32.19,muskmelon
100.66,11.9,43.98,21.2,90.93,5.33,217.54,tea
91.42,11.18,48.22,21.71,88.43,6.65,44.68,watermelon
110.1,12.75,45.35,25.56,89.32,6.75,20.0,muskmelon
18.86,7.9,24.56,27.15,88.06,5.86,194.42,coconut
56.05,38.69,89.7,16.39,60.41,6.59,47.01,radish
6.13,52.48,45.31,31.82,74.94,6.17,109.6,soybean
21.97,67.98,17.74,22.1,18.32,6.04,79.15,kidneybeans
102.78,30.05,80.05,24.36,76.12,4.97,168.06,pineapple
93.43,72.81,77.01,26.59,69.83,6.53,51.32,tobacco
111.72,44.2,46.44,22.24,67.96,6.36,50.21,cotton
124.89,45.39,89.28,27.93,81.16,5.16,114.67,pineapple
78.51,74.17,53.49,28.52,86.82,5.99,115.69,ginger
96.15,60.76,55.36,27.67,88.8,6.02,196.95,ginger
49.52,27.72,47.22,18.95,70.22,7.07,61.23,coriander
111.78,73.04,45.43,25.52,81.69,5.29,121.81,banana
27.83,140.49,197.59,21.98,88.99,6.02,90.42,apple
32.56,58.74,17.76,23.68,51.99,5.76,134.06,pigeonpeas
28.9,17.4,20.8,29.82,92.09,5.89,168.12,coconut
34.19,44.73,51.15,27.73,68.29,6.4,76.84,tomato
106.9,28.54,96.53,30.51,96.04,5.51,156.98,pineapple
106.63,59.72,60.24,21.69,63.71,6.32,74.58,maize
53.47,28.73,53.2,19.28,68.28,6.58,72.02,tomato
20.5,20.96,41.96,28.11,92.31,6.04,126.31,pomegranate
72.91,24.79,97.44,25.69,87.09,5.4,113.2,pineapple
66.19,51.51,40.87,12.52,62.35,6.45,48.84,garlic
17.72,52.95,22.97,31.57,84.05,6.11,49.31,mungbean
36.97,69.99,17.19,21.3,52.31,6.84,69.94,blackgram
63.97,45.32,51.9,30.1,67.07,6.75,61.49,sunflower
27.81,58.35,46.0,24.75,65.56,6.48,70.3,groundnut
24.8,76.82,47.41,29.09,74.84,6.04,95.48,soybean
94.37,23.5,46.52,26.88,88.91,6.57,20.0,muskmelon
37.02,59.92,40.96,33.72,89.8,7.41,145.85,papaya
88.02,73.4,83.38,28.01,72.83,5.97,89.42,tobacco
22.33,20.02,25.24,26.94,95.69,5.74,159.92,coconut
106.07,75.57,57.35,28.99,79.89,5.87,96.28,banana
69.91,50.46,55.01,19.94,85.5,5.97,44.55,capsicum
72.92,44.07,48.93,29.29,85.89,5.7,220.54,pepper
106.87,34.38,25.83,20.81,69.46,6.69,128.53,coffee
27.42,120.59,193.18,27.01,97.96,5.99,122.37,apple
49.93,46.52,48.13,32.44,51.5,6.49,64.82,castor
19.2,64.14,39.17,28.85,69.41,6.8,74.86,groundnut
47.11,62.38,46.92,19.53,67.34,7.29,50.25,garlic
60.19,40.93,37.69,21.41,53.19,6.68,50.27,mustard
124.36,36.54,75.78,18.83,54.84,6.02,71.75,cabbage
111.08,10.29,64.36,21.63,87.61,7.12,50.09,watermelon
96.77,60.88,63.23,21.6,49.19,5.72,94.89,maize
9.42,19.49,36.65,15.49,87.5,5.74,136.11,pomegranate
28.51,63.81,16.0,30.38,62.82,6.92,70.09,blackgram
23.53,132.46,199.34,21.84,90.53,5.98,125.91,apple
112.38,67.66,71.87,22.57,74.69,6.65,80.08,maize
30.76,24.84,46.6,25.6,87.49,6.53,89.14,lemon
91.35,56.71,55.81,28.53,79.01,6.07,145.58,ginger
137.98,61.09,81.31,27.45,76.06,6.13,180.49,sugarcane
30.32,60.58,52.95,30.52,96.83,6.25,174.61,papaya
19.2,63.08,18.97,19.46,26.69,6.24,110.85,kidneybeans
24.83,20.1,26.38,25.82,91.89,6.42,229.71,coconut
15.77,34.1,44.61,22.36,78.03,6.83,32.36,groundnut
58.96,45.14,49.8,20.45,57.43,7.03,67.92,garlic
126.72,58.84,82.54,27.96,74.87,6.17,132.87,sugarcane
90.51,70.45,59.34,28.01,63.73,6.06,112.19,tobacco
23.94,76.98,58.13,27.28,78.04,6.9,80.65,soybean
49.25,92.31,86.33,14.74,81.03,5.81,36.34,strawberry
30.48,71.22,23.97,24.09,48.42,5.46,146.78,pigeonpeas
115.87,51.54,91.37,15.57,73.85,6.72,49.97,cabbage
115.29,47.5,38.23,27.6,78.45,6.7,82.33,cotton
23.07,73.0,95.65,28.21,70.24,5.83,51.39,sweet_potato
92.96,46.96,42.29,22.18,81.71,6.84,81.38,wheat
76.62,27.94,67.14,17.48,66.71,6.97,36.36,spinach
57.55,45.58,45.55,25.56,72.03,6.71,43.89,garlic
24.64,73.04,12.15,25.27,53.8,7.4,41.34,lentil
77.16,59.4,66.63,26.35,87.59,5.57,67.74,tobacco
22.59,59.49,44.48,26.6,64.43,6.35,57.75,groundnut
85.93,53.5,50.91,27.37,82.18,5.8,93.71,banana
90.88,15.39,31.07,18.47,72.49,5.06,251.23,tea
85.81,50.76,83.71,17.29,71.58,5.88,51.27,potato
117.55,41.21,49.46,23.91,56.57,6.6,83.86,wheat
55.86,58.98,90.99,17.24,70.25,5.7,20.36,potato
77.08,39.97,48.8,24.26,73.21,6.23,234.83,rice
27.34,21.27,26.7,25.97,90.57,6.25,171.65,coconut
63.26,52.63,64.23,23.07,73.11,6.62,47.1,capsicum
108.35,16.56,53.53,29.57,90.31,6.55,20.07,muskmelon
109.12,53.21,50.38,29.29,77.69,7.0,77.37,cotton
107.35,31.28,49.32,27.13,62.92,6.24,58.46,maize
15.97,65.35,39.45,27.89,62.56,7.0,49.87,soybean
107.79,25.01,43.36,23.36,79.24,4.88,249.79,tea
98.83,24.44,101.51,28.72,73.47,6.12,145.26,pineapple
81.66,77.14,70.78,27.33,80.4,6.21,104.25,banana
26.88,63.13,65.28,22.48,79.26,6.85,92.33,soybean
114.38,90.53,61.71,25.87,74.1,6.19,78.52,banana
103.66,21.45,30.96,21.38,66.9,6.78,115.51,coffee
45.63,90.8,125.85,15.37,79.92,6.27,37.01,strawberry
91.0,38.81,30.42,24.35,61.29,6.38,123.29,coffee
35.28,29.75,30.93,29.95,61.39,6.19,141.56,guava
20.36,73.03,22.32,26.81,49.7,6.09,139.42,pigeonpeas
38.28,33.86,98.1,18.53,60.1,6.49,39.31,carrot
