arrival_date,year,month,state,district,market,commodity,crop,season,demand,min_price,max_price,modal_price,price_unit,source,source_url
2019-07-01,2019,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2728,3188,2958,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-08-01,2019,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2302,2876,2589,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-09-01,2019,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2045,2765,2405,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-10-01,2019,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1906,2622,2264,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-11-01,2019,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1955,2549,2252,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-12-01,2019,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2246,3082,2664,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-01-01,2020,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2011,2557,2284,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-02-01,2020,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2314,2866,2590,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-03-01,2020,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2383,2875,2629,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-04-01,2020,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2229,3035,2632,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-05-01,2020,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2445,3041,2743,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-06-01,2020,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2803,3267,3035,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-07-01,2020,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2505,3445,2975,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-08-01,2020,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2454,2836,2645,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-09-01,2020,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2172,3116,2644,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-10-01,2020,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2326,3074,2700,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-11-01,2020,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1935,2729,2332,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2020-12-01,2020,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2205,3107,2656,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-01-01,2021,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2261,2701,2481,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-02-01,2021,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2536,3108,2822,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-03-01,2021,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2522,3270,2896,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-04-01,2021,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2192,2800,2496,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-05-01,2021,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2670,3090,2880,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-06-01,2021,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2510,2948,2729,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-07-01,2021,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2625,3297,2961,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-08-01,2021,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2849,3377,3113,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-09-01,2021,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2497,3191,2844,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-10-01,2021,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2528,3406,2967,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-11-01,2021,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2654,3112,2883,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2021-12-01,2021,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2284,2714,2499,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-01-01,2022,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2453,3007,2730,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-02-01,2022,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2422,3286,2854,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-03-01,2022,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2458,2856,2657,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-04-01,2022,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2509,3019,2764,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-05-01,2022,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2759,3351,3055,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-06-01,2022,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2386,3326,2856,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-07-01,2022,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2914,3360,3137,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-08-01,2022,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2953,3967,3460,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-09-01,2022,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2845,3619,3232,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-10-01,2022,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2455,2849,2652,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-11-01,2022,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2273,2847,2560,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2022-12-01,2022,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2811,3357,3084,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-01-01,2023,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2250,3130,2690,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-02-01,2023,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2315,3207,2761,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-03-01,2023,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2649,3471,3060,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-04-01,2023,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2619,3117,2868,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-05-01,2023,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2851,3931,3391,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-06-01,2023,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2933,3827,3380,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-07-01,2023,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2841,4001,3421,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-08-01,2023,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,3081,3665,3373,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-09-01,2023,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2855,3747,3301,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-10-01,2023,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2838,3500,3169,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-11-01,2023,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2705,3255,2980,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2023-12-01,2023,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2980,3464,3222,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-01-01,2024,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2559,3535,3047,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-02-01,2024,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2469,2925,2697,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-03-01,2024,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2683,3305,2994,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-04-01,2024,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2871,3717,3294,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-05-01,2024,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,3024,4198,3611,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-06-01,2024,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2844,3636,3240,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-07-01,2024,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,3161,4469,3815,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-08-01,2024,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2909,3657,3283,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-09-01,2024,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2861,3977,3419,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-10-01,2024,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2550,3416,2983,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-11-01,2024,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2732,3610,3171,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2024-12-01,2024,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2518,3224,2871,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-01-01,2025,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2807,3321,3064,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-02-01,2025,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2691,3593,3142,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-03-01,2025,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2857,3949,3403,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-04-01,2025,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2723,3907,3315,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-05-01,2025,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2578,3562,3070,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-06-01,2025,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,3213,4425,3819,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-07-01,2025,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,3174,4360,3767,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-08-01,2025,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2939,4223,3581,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2025-09-01,2025,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2653,3571,3112,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
